	q	m	n	k	odds ratio	p-value	fdr
GeneList227	5.562000e+03	1.096200e+04	1.103800e+04	1.098900e+04	1.064922e+00	1.020325e-02	0.000000e+00
GeneList20	5.566000e+03	1.097100e+04	1.102900e+04	1.098900e+04	1.064538e+00	1.057155e-02	0.000000e+00
GeneList168	5.608000e+03	1.105600e+04	1.094400e+04	1.098900e+04	1.064185e+00	1.092105e-02	0.000000e+00
GeneList565	5.473000e+03	1.112800e+04	1.087200e+04	1.098900e+04	9.397431e-01	1.098904e-02	0.000000e+00
GeneList1974	5.579000e+03	1.099900e+04	1.100100e+04	1.098900e+04	1.063774e+00	1.133890e-02	0.000000e+00
GeneList74	5.404000e+03	1.098700e+04	1.101300e+04	1.098900e+04	9.407287e-01	1.215986e-02	0.000000e+00
GeneList987	5.396000e+03	1.097000e+04	1.103000e+04	1.098900e+04	9.410647e-01	1.258474e-02	0.000000e+00
GeneList72	5.450000e+03	1.107700e+04	1.092300e+04	1.098900e+04	9.414414e-01	1.307725e-02	0.000000e+00
GeneList60	5.389000e+03	1.095400e+04	1.104600e+04	1.098900e+04	9.417435e-01	1.348164e-02	0.000000e+00
GeneList393	5.582000e+03	1.101100e+04	1.098900e+04	1.098900e+04	1.061460e+00	1.397192e-02	0.000000e+00
GeneList1494	5.420000e+03	1.101500e+04	1.098500e+04	1.098900e+04	9.421079e-01	1.398438e-02	0.000000e+00
GeneList1867	5.531000e+03	1.091000e+04	1.109000e+04	1.098900e+04	1.061039e+00	1.450689e-02	0.000000e+00
GeneList961	5.649000e+03	1.114700e+04	1.085300e+04	1.098900e+04	1.060751e+00	1.488520e-02	0.000000e+00
GeneList1168	5.620000e+03	1.108900e+04	1.091100e+04	1.098900e+04	1.060722e+00	1.491929e-02	0.000000e+00
GeneList671	5.580000e+03	1.100900e+04	1.099100e+04	1.098900e+04	1.060687e+00	1.496267e-02	0.000000e+00
GeneList1323	5.575000e+03	1.099900e+04	1.100100e+04	1.098900e+04	1.060683e+00	1.496779e-02	0.000000e+00
GeneList1963	5.443000e+03	1.105900e+04	1.094100e+04	1.098900e+04	9.428070e-01	1.499620e-02	0.000000e+00
GeneList1931	5.539000e+03	1.092700e+04	1.107300e+04	1.098900e+04	1.060658e+00	1.500272e-02	0.000000e+00
GeneList1850	5.614000e+03	1.107800e+04	1.092200e+04	1.098900e+04	1.060331e+00	1.544151e-02	0.000000e+00
GeneList328	5.431000e+03	1.103400e+04	1.096600e+04	1.098900e+04	9.431425e-01	1.550196e-02	0.000000e+00
GeneList683	5.443000e+03	1.105800e+04	1.094200e+04	1.098900e+04	9.431497e-01	1.551381e-02	0.000000e+00
GeneList208	5.537000e+03	1.092400e+04	1.107600e+04	1.098900e+04	1.060271e+00	1.552244e-02	0.000000e+00
GeneList1600	5.425000e+03	1.102100e+04	1.097900e+04	1.098900e+04	9.434815e-01	1.602820e-02	0.000000e+00
GeneList1525	5.634000e+03	1.112000e+04	1.088000e+04	1.098900e+04	1.059580e+00	1.649330e-02	0.000000e+00
GeneList612	5.360000e+03	1.088900e+04	1.111100e+04	1.098900e+04	9.441174e-01	1.706124e-02	0.000000e+00
GeneList865	5.591000e+03	1.103600e+04	1.096400e+04	1.098900e+04	1.058771e+00	1.768797e-02	0.000000e+00
GeneList1784	5.546000e+03	1.094700e+04	1.105300e+04	1.098900e+04	1.058352e+00	1.833781e-02	0.000000e+00
GeneList777	5.352000e+03	1.087000e+04	1.113000e+04	1.098900e+04	9.451396e-01	1.883346e-02	0.000000e+00
GeneList917	5.621000e+03	1.109900e+04	1.090100e+04	1.098900e+04	1.057645e+00	1.948532e-02	0.000000e+00
GeneList827	5.580000e+03	1.101700e+04	1.098300e+04	1.098900e+04	1.057608e+00	1.954160e-02	0.000000e+00
GeneList763	5.413000e+03	1.099100e+04	1.100900e+04	1.098900e+04	9.455325e-01	1.954681e-02	0.000000e+00
GeneList608	5.604000e+03	1.106600e+04	1.093400e+04	1.098900e+04	1.057245e+00	2.015684e-02	0.000000e+00
GeneList653	5.507000e+03	1.087200e+04	1.112800e+04	1.098900e+04	1.057176e+00	2.027971e-02	0.000000e+00
GeneList1633	5.430000e+03	1.102300e+04	1.097700e+04	1.098900e+04	9.462314e-01	2.088506e-02	0.000000e+00
GeneList1699	5.493000e+03	1.114900e+04	1.085100e+04	1.098900e+04	9.462654e-01	2.096138e-02	0.000000e+00
GeneList1198	5.566000e+03	1.099200e+04	1.100800e+04	1.098900e+04	1.056445e+00	2.156149e-02	0.000000e+00
GeneList167	5.447000e+03	1.105600e+04	1.094400e+04	1.098900e+04	9.465858e-01	2.159359e-02	0.000000e+00
GeneList1727	5.427000e+03	1.101500e+04	1.098500e+04	1.098900e+04	9.469173e-01	2.227179e-02	0.000000e+00
GeneList1447	5.524000e+03	1.090900e+04	1.109100e+04	1.098900e+04	1.056033e+00	2.232264e-02	0.000000e+00
GeneList587	5.631000e+03	1.112400e+04	1.087600e+04	1.098900e+04	1.055735e+00	2.288793e-02	0.000000e+00
GeneList1925	5.402000e+03	1.096400e+04	1.103600e+04	1.098900e+04	9.472437e-01	2.295873e-02	0.000000e+00
GeneList305	5.446000e+03	1.105200e+04	1.094800e+04	1.098900e+04	9.472734e-01	2.302274e-02	0.000000e+00
GeneList1433	5.517000e+03	1.089600e+04	1.110400e+04	1.098900e+04	1.055645e+00	2.305736e-02	0.000000e+00
GeneList610	5.414000e+03	1.098700e+04	1.101300e+04	1.098900e+04	9.475967e-01	2.372019e-02	0.000000e+00
GeneList511	5.525000e+03	1.091300e+04	1.108700e+04	1.098900e+04	1.055266e+00	2.379231e-02	0.000000e+00
GeneList1366	5.416000e+03	1.099000e+04	1.101000e+04	1.098900e+04	9.479425e-01	2.448678e-02	0.000000e+00
GeneList1420	5.563000e+03	1.099000e+04	1.101000e+04	1.098900e+04	1.054909e+00	2.450228e-02	0.000000e+00
GeneList1912	5.351000e+03	1.085900e+04	1.114100e+04	1.098900e+04	9.482339e-01	2.515823e-02	0.000000e+00
GeneList1011	5.574000e+03	1.101300e+04	1.098700e+04	1.098900e+04	1.054534e+00	2.526923e-02	0.000000e+00
GeneList889	5.570000e+03	1.100500e+04	1.099500e+04	1.098900e+04	1.054531e+00	2.527566e-02	0.000000e+00
GeneList172	5.452000e+03	1.106100e+04	1.093900e+04	1.098900e+04	9.483103e-01	2.532644e-02	0.000000e+00
GeneList1703	5.463000e+03	1.108300e+04	1.091700e+04	1.098900e+04	9.483166e-01	2.534246e-02	0.000000e+00
GeneList1657	5.473000e+03	1.110300e+04	1.089700e+04	1.098900e+04	9.483219e-01	2.535663e-02	0.000000e+00
GeneList526	5.502000e+03	1.086900e+04	1.113100e+04	1.098900e+04	1.054487e+00	2.537584e-02	0.000000e+00
GeneList1762	5.579000e+03	1.102400e+04	1.097600e+04	1.098900e+04	1.054155e+00	2.606581e-02	0.000000e+00
GeneList1047	5.410000e+03	1.097600e+04	1.102400e+04	1.098900e+04	9.486272e-01	2.606581e-02	0.000000e+00
GeneList506	5.446000e+03	1.104800e+04	1.095200e+04	1.098900e+04	9.486514e-01	2.612379e-02	0.000000e+00
GeneList1157	5.320000e+03	1.079500e+04	1.120500e+04	1.098900e+04	9.488928e-01	2.672098e-02	0.000000e+00
GeneList189	5.398000e+03	1.095100e+04	1.104900e+04	1.098900e+04	9.489629e-01	2.687087e-02	0.000000e+00
GeneList569	5.632000e+03	1.113200e+04	1.086800e+04	1.098900e+04	1.053437e+00	2.764019e-02	0.000000e+00
GeneList851	5.604000e+03	1.107600e+04	1.092400e+04	1.098900e+04	1.053411e+00	2.769410e-02	0.000000e+00
GeneList341	5.599000e+03	1.106600e+04	1.093400e+04	1.098900e+04	1.053406e+00	2.770340e-02	0.000000e+00
GeneList1592	5.595000e+03	1.105800e+04	1.094200e+04	1.098900e+04	1.053403e+00	2.771077e-02	0.000000e+00
GeneList1090	5.416000e+03	1.098600e+04	1.101400e+04	1.098900e+04	9.493211e-01	2.775019e-02	0.000000e+00
GeneList1138	5.552000e+03	1.097200e+04	1.102800e+04	1.098900e+04	1.053369e+00	2.778603e-02	0.000000e+00
GeneList739	5.650000e+03	1.116900e+04	1.083100e+04	1.098900e+04	1.053073e+00	2.847026e-02	0.000000e+00
GeneList1350	5.404000e+03	1.096100e+04	1.103900e+04	1.098900e+04	9.496573e-01	2.859857e-02	0.000000e+00
GeneList396	5.575000e+03	1.101900e+04	1.098100e+04	1.098900e+04	1.053003e+00	2.861681e-02	0.000000e+00
GeneList310	5.472000e+03	1.081300e+04	1.118700e+04	1.098900e+04	1.052940e+00	2.878118e-02	0.000000e+00
GeneList1572	5.611000e+03	1.109200e+04	1.090800e+04	1.098900e+04	1.052652e+00	2.944018e-02	0.000000e+00
GeneList834	5.582000e+03	1.103400e+04	1.096600e+04	1.098900e+04	1.052626e+00	2.949644e-02	0.000000e+00
GeneList1893	5.419000e+03	1.099000e+04	1.101000e+04	1.098900e+04	9.500133e-01	2.951871e-02	0.000000e+00
GeneList1416	5.557000e+03	1.098400e+04	1.101600e+04	1.098900e+04	1.052607e+00	2.954218e-02	0.000000e+00
GeneList186	5.439000e+03	1.103000e+04	1.097000e+04	1.098900e+04	9.500268e-01	2.955453e-02	0.000000e+00
GeneList846	5.449000e+03	1.105000e+04	1.095000e+04	1.098900e+04	9.500331e-01	2.957182e-02	0.000000e+00
GeneList282	5.377000e+03	1.090500e+04	1.109500e+04	1.098900e+04	9.503259e-01	3.035199e-02	0.000000e+00
GeneList1650	5.392000e+03	1.093500e+04	1.106500e+04	1.098900e+04	9.503382e-01	3.038235e-02	0.000000e+00
GeneList785	5.570000e+03	1.101100e+04	1.098900e+04	1.098900e+04	1.052234e+00	3.043465e-02	0.000000e+00
GeneList1722	5.419000e+03	1.098900e+04	1.101100e+04	1.098900e+04	9.503586e-01	3.043465e-02	0.000000e+00
GeneList541	5.567000e+03	1.100500e+04	1.099500e+04	1.098900e+04	1.052232e+00	3.044027e-02	0.000000e+00
GeneList1780	5.471000e+03	1.109300e+04	1.090700e+04	1.098900e+04	9.503911e-01	3.052679e-02	0.000000e+00
GeneList1821	5.492000e+03	1.085500e+04	1.114500e+04	1.098900e+04	1.052184e+00	3.056861e-02	0.000000e+00
GeneList1771	5.382000e+03	1.091400e+04	1.108600e+04	1.098900e+04	9.506754e-01	3.129967e-02	0.000000e+00
GeneList22	5.607000e+03	1.108600e+04	1.091400e+04	1.098900e+04	1.051884e+00	3.129967e-02	0.000000e+00
GeneList222	5.400000e+03	1.095000e+04	1.105000e+04	1.098900e+04	9.506898e-01	3.133656e-02	0.000000e+00
GeneList1781	5.411000e+03	1.097200e+04	1.102800e+04	1.098900e+04	9.506981e-01	3.135843e-02	0.000000e+00
GeneList1625	5.445000e+03	1.104000e+04	1.096000e+04	1.098900e+04	9.507213e-01	3.142276e-02	0.000000e+00
GeneList1725	5.544000e+03	1.096000e+04	1.104000e+04	1.098900e+04	1.051833e+00	3.142276e-02	0.000000e+00
GeneList1096	5.448000e+03	1.104600e+04	1.095400e+04	1.098900e+04	9.507232e-01	3.142820e-02	0.000000e+00
GeneList407	5.348000e+03	1.084500e+04	1.115500e+04	1.098900e+04	9.509908e-01	3.218566e-02	0.000000e+00
GeneList1097	5.588000e+03	1.104900e+04	1.095100e+04	1.098900e+04	1.051485e+00	3.230084e-02	0.000000e+00
GeneList281	5.431000e+03	1.101100e+04	1.098900e+04	1.098900e+04	9.510577e-01	3.236067e-02	0.000000e+00
GeneList1692	5.518000e+03	1.090900e+04	1.109100e+04	1.098900e+04	1.051434e+00	3.243438e-02	0.000000e+00
GeneList1053	5.488000e+03	1.112500e+04	1.087500e+04	1.098900e+04	9.510910e-01	3.246361e-02	0.000000e+00
GeneList1879	5.394000e+03	1.093600e+04	1.106400e+04	1.098900e+04	9.513761e-01	3.327248e-02	0.000000e+00
GeneList1197	5.504000e+03	1.088200e+04	1.111800e+04	1.098900e+04	1.051044e+00	3.344927e-02	0.000000e+00
GeneList1488	5.486000e+03	1.112000e+04	1.088000e+04	1.098900e+04	9.514358e-01	3.345100e-02	0.000000e+00
GeneList157	5.506000e+03	1.116000e+04	1.084000e+04	1.098900e+04	9.514453e-01	3.348487e-02	0.000000e+00
GeneList792	5.620000e+03	1.111500e+04	1.088500e+04	1.098900e+04	1.050750e+00	3.422697e-02	0.000000e+00
GeneList643	5.600000e+03	1.107500e+04	1.092500e+04	1.098900e+04	1.050732e+00	3.427226e-02	0.000000e+00
GeneList1154	5.404000e+03	1.095500e+04	1.104500e+04	1.098900e+04	9.517296e-01	3.430506e-02	0.000000e+00
GeneList67	5.457000e+03	1.106100e+04	1.093900e+04	1.098900e+04	9.517656e-01	3.441288e-02	0.000000e+00
GeneList1507	5.468000e+03	1.108300e+04	1.091700e+04	1.098900e+04	9.517720e-01	3.443368e-02	0.000000e+00
GeneList1705	5.517000e+03	1.090900e+04	1.109100e+04	1.098900e+04	1.050669e+00	3.444110e-02	0.000000e+00
GeneList1564	5.563000e+03	1.100200e+04	1.099800e+04	1.098900e+04	1.050319e+00	3.538901e-02	0.000000e+00
GeneList1327	5.544000e+03	1.096400e+04	1.103600e+04	1.098900e+04	1.050305e+00	3.542823e-02	0.000000e+00
GeneList323	5.577000e+03	1.103100e+04	1.096900e+04	1.098900e+04	1.049949e+00	3.642153e-02	0.000000e+00
GeneList1075	5.568000e+03	1.101300e+04	1.098700e+04	1.098900e+04	1.049942e+00	3.644138e-02	0.000000e+00
GeneList1153	5.567000e+03	1.101100e+04	1.098900e+04	1.098900e+04	1.049941e+00	3.644356e-02	0.000000e+00
GeneList984	5.439000e+03	1.102300e+04	1.097700e+04	1.098900e+04	9.524463e-01	3.647996e-02	0.000000e+00
GeneList28	5.648000e+03	1.117400e+04	1.082600e+04	1.098900e+04	1.049634e+00	3.733610e-02	0.000000e+00
GeneList592	5.618000e+03	1.111400e+04	1.088600e+04	1.098900e+04	1.049604e+00	3.741245e-02	0.000000e+00
GeneList1839	5.397000e+03	1.093800e+04	1.106200e+04	1.098900e+04	9.527620e-01	3.747522e-02	0.000000e+00
GeneList1513	5.550000e+03	1.097800e+04	1.102200e+04	1.098900e+04	1.049547e+00	3.756990e-02	0.000000e+00
GeneList1079	5.452000e+03	1.104800e+04	1.095200e+04	1.098900e+04	9.528007e-01	3.759753e-02	0.000000e+00
GeneList1577	5.375000e+03	1.089300e+04	1.110700e+04	1.098900e+04	9.530901e-01	3.853503e-02	0.000000e+00
GeneList100	5.380000e+03	1.090300e+04	1.109700e+04	1.098900e+04	9.530944e-01	3.854755e-02	0.000000e+00
GeneList1922	5.569000e+03	1.101700e+04	1.098300e+04	1.098900e+04	1.049180e+00	3.864343e-02	0.000000e+00
GeneList967	5.560000e+03	1.099900e+04	1.100100e+04	1.098900e+04	1.049173e+00	3.866394e-02	0.000000e+00
GeneList1861	5.521000e+03	1.092100e+04	1.107900e+04	1.098900e+04	1.049146e+00	3.874837e-02	0.000000e+00
GeneList663	5.362000e+03	1.086600e+04	1.113400e+04	1.098900e+04	9.534250e-01	3.964064e-02	0.000000e+00
GeneList1063	5.621000e+03	1.112200e+04	1.087800e+04	1.098900e+04	1.048844e+00	3.965639e-02	0.000000e+00
GeneList1637	5.391000e+03	1.092400e+04	1.107600e+04	1.098900e+04	9.534497e-01	3.971517e-02	0.000000e+00
GeneList1786	5.541000e+03	1.096200e+04	1.103800e+04	1.098900e+04	1.048778e+00	3.984975e-02	0.000000e+00
GeneList1213	5.401000e+03	1.094300e+04	1.105700e+04	1.098900e+04	9.538041e-01	4.090828e-02	0.000000e+00
GeneList935	5.441000e+03	1.102300e+04	1.097700e+04	1.098900e+04	9.538329e-01	4.100476e-02	0.000000e+00
GeneList633	5.601000e+03	1.108400e+04	1.091600e+04	1.098900e+04	1.048064e+00	4.207049e-02	0.000000e+00
GeneList522	5.593000e+03	1.106800e+04	1.093200e+04	1.098900e+04	1.048057e+00	4.209143e-02	0.000000e+00
GeneList1503	5.586000e+03	1.105400e+04	1.094600e+04	1.098900e+04	1.048051e+00	4.210948e-02	0.000000e+00
GeneList1502	5.413000e+03	1.096600e+04	1.103400e+04	1.098900e+04	9.541598e-01	4.213484e-02	0.000000e+00
GeneList1586	5.547000e+03	1.097600e+04	1.102400e+04	1.098900e+04	1.048020e+00	4.220557e-02	0.000000e+00
GeneList689	5.453000e+03	1.104600e+04	1.095400e+04	1.098900e+04	9.541872e-01	4.223129e-02	0.000000e+00
GeneList1026	5.484000e+03	1.110800e+04	1.089200e+04	1.098900e+04	9.542052e-01	4.230050e-02	0.000000e+00
GeneList90	5.452000e+03	1.078600e+04	1.121400e+04	1.098900e+04	1.047966e+00	4.240758e-02	0.000000e+00
GeneList944	5.631000e+03	1.114500e+04	1.085500e+04	1.098900e+04	1.047712e+00	4.321064e-02	0.000000e+00
GeneList354	5.620000e+03	1.112300e+04	1.087700e+04	1.098900e+04	1.047701e+00	4.324170e-02	0.000000e+00
GeneList429	5.380000e+03	1.089900e+04	1.110100e+04	1.098900e+04	9.544803e-01	4.327214e-02	0.000000e+00
GeneList859	5.404000e+03	1.094700e+04	1.105300e+04	1.098900e+04	9.544997e-01	4.333644e-02	0.000000e+00
GeneList713	5.582000e+03	1.104700e+04	1.095300e+04	1.098900e+04	1.047667e+00	4.334427e-02	0.000000e+00
