	NR_kstwo
A0.116	0.705440
A0.117	1.003237
A0.118	0.644666
A0.119	-0.043734
A0.120	-0.774498
A0.121	0.013229
A0.122	1.379387
A0.123	-0.607650
A0.124	-1.651860
A0.125	-0.825346
A0.126	1.253430
A0.127	-1.821569
A0.128	0.458887
A0.129	-0.518585
A0.130	-1.605359
A0.131	-0.644435
A0.132	0.522275
A0.133	0.652539
A0.134	0.230524
A0.135	-1.830855
A0.136	-0.503512
A0.137	0.132875
A0.138	0.568609
A0.139	0.788992
A0.140	1.414486
A0.141	0.162899
A0.142	-0.817559
A0.143	-0.986623
A0.144	0.146781
A0.145	-0.584946
A0.146	0.374216
A0.147	0.050810
A0.148	-0.079511
A0.149	1.514559
A0.150	1.701109
A0.151	2.019990
A0.152	0.095260
A0.153	-0.558350
A0.154	1.498711
A0.155	0.870181
A0.156	0.120266
A0.157	-1.182280
A0.158	-0.563836
A0.159	0.494416
A0.160	0.647676
A0.161	-0.320709
A0.162	-0.794517
A0.163	-0.333108
A0.164	0.722398
A0.165	-0.537301
A0.166	-0.828252
A0.167	0.401046
A0.168	-0.643809
A0.169	-0.249541
A0.170	0.998673
A0.171	-0.078705
A0.172	2.360276
A0.173	0.143999
A0.174	1.731314
A0.175	1.603944
A0.176	0.255373
A0.177	1.386643
A0.178	-0.104178
A0.179	1.351870
A0.180	-0.309893
A0.181	0.226828
A0.182	-1.110438
A0.183	-0.089996
A0.184	0.011808
A0.185	-0.015918
A0.186	-2.926929
A0.187	-0.513948
A0.188	0.347977
A0.189	0.457309
A0.190	-0.285466
A0.191	-0.797924
A0.192	-0.209516
A0.193	-2.020093
A0.194	-0.376978
A0.195	-0.297823
A0.196	-0.235180
A0.197	-0.207845
A0.198	-0.384462
A0.199	-0.565259
A0.200	0.913041
A0.201	-1.941215
A0.202	-1.788151
A0.203	-2.676731
A0.204	0.987152
A0.205	-0.792899
A0.206	-0.690047
A0.207	-0.900063
A0.208	0.589346
A0.209	0.801137
A0.210	0.135980
A0.211	1.114820
A0.212	1.877748
A0.213	0.169611
A0.214	0.297872
A0.215	0.304727
A0.216	-1.323762
A0.217	0.187123
A0.218	1.397444
A0.219	1.762497
A0.220	1.598045
A0.221	-0.767728
A0.222	-2.073852
A0.223	-0.615938
A0.224	0.077506
A0.225	-0.333865
A0.226	-0.582811
A0.227	0.717996
A0.228	-1.548154
A0.229	-1.574435
A0.230	-1.009189
A0.231	0.306635
A0.232	-1.395838
A0.233	0.574267
A0.234	0.632712
A0.235	0.045538
A0.236	2.300034
A0.237	0.492079
A0.238	-0.144234
A0.239	0.761561
A0.240	-1.402897
A0.241	1.106262
A0.242	0.600098
A0.243	-0.216843
A0.244	-0.641743
A0.245	1.191978
A0.246	-0.381126
A0.247	1.307077
A0.248	-0.783906
A0.249	-2.336204
A0.250	1.028151
A0.251	-0.106529
A0.252	0.277790
A0.253	1.171018
A0.254	0.586429
A0.255	-0.001886
A0.256	-0.052059
A0.257	-0.619309
A0.258	-0.720768
A0.259	-1.000458
A0.260	-1.092699
A0.261	1.702010
A0.262	0.464221
A0.263	-0.775643
A0.264	-0.163903
A0.265	0.434689
A0.266	-0.365435
A0.267	0.688211
A0.268	0.731673
A0.269	0.093797
A0.270	-0.500797
A0.271	-1.201009
A0.272	1.174946
A0.273	1.364075
A0.274	-1.270373
A0.275	0.086461
A0.276	1.381135
A0.277	0.817040
A0.278	-1.111033
A0.279	-0.695916
A0.280	-1.524318
A0.281	1.279245
A0.282	0.292829
A0.283	1.185104
A0.284	0.413500
A0.285	-1.127021
A0.286	0.031993
A0.287	-0.637843
A0.288	-0.301005
A0.289	1.073073
A0.290	-0.642595
A0.291	1.012709
A0.292	-0.739384
A0.293	0.099278
A0.294	1.449529
A0.295	0.287767
A0.296	-0.748454
A0.297	0.429058
A0.298	1.244487
A0.299	-0.092988
A0.300	-0.466426
A0.301	-0.983476
A0.302	-0.813478
A0.303	-0.607970
A0.304	-1.945463
A0.305	0.273194
A0.306	2.123270
A0.307	-1.827817
A0.308	2.058360
A0.309	-0.696383
A0.310	0.720463
A0.311	-0.184503
A0.312	-1.592768
A0.313	0.393463
A0.314	-1.779822
A0.315	-0.041148
A0.316	-0.476873
A0.317	1.137648
A0.318	1.157350
A0.319	0.065575
A0.320	0.412136
A0.321	0.179702
A0.322	-0.358685
A0.323	0.116339
A0.324	-0.353760
A0.325	-0.205284
A0.326	2.346873
A0.327	-0.454757
A0.328	-0.762892
A0.329	-0.135714
A0.330	-0.626135
A0.331	-0.596235
A0.332	-2.043936
A0.333	-0.272282
A0.334	0.880010
A0.335	-0.294527
A0.336	0.360278
A0.337	-0.572124
A0.338	0.027791
A0.339	1.155568
A0.340	-0.139268
A0.341	-0.052182
A0.342	-1.624669
A0.343	0.095121
A0.344	1.168739
A0.345	-1.586600
A0.346	-0.058101
A0.347	0.326040
A0.348	0.595439
A0.349	-1.238567
A0.350	-1.338107
A0.351	0.492325
A0.352	0.355642
A0.353	-1.395012
A0.354	0.648716
A0.355	0.147203
A0.356	-1.786957
A0.357	-1.319650
A0.358	-1.040236
A0.359	1.009513
A0.360	-0.511646
A0.361	-1.040239
A0.362	-0.870307
A0.363	-0.410829
A0.364	-1.057152
A0.365	-1.463897
A0.366	-0.874513
A0.367	0.325096
A0.368	0.257031
A0.369	-1.922981
A0.370	-0.173995
A0.371	-0.167915
A0.372	1.525038
A0.373	-2.178087
A0.374	-0.650033
A0.375	1.040578
A0.376	-1.118847
A0.377	-1.133935
A0.378	-0.786853
A0.379	0.179284
A0.380	0.313685
A0.381	-0.355462
A0.382	1.687195
A0.383	0.680196
A0.384	1.477289
A0.385	0.342860
A0.386	-0.365121
A0.387	0.484029
A0.388	-0.313821
A0.389	0.518638
A0.390	-0.430040
A0.391	0.143835
A0.392	-0.155789
A0.393	1.209060
A0.394	-0.660484
A0.395	-0.372184
A0.396	-0.795182
A0.397	1.630070
A0.398	-0.397036
A0.399	0.186592
A0.400	1.649655
A0.401	-0.185249
A0.402	-0.152376
A0.403	0.910532
A0.404	-2.720062
A0.405	1.903568
A0.406	0.700960
A0.407	-0.026298
A0.408	-0.083883
A0.409	0.325891
A0.410	0.054191
A0.411	0.010396
A0.412	-0.520823
A0.413	1.043995
A0.414	-0.793707
A0.415	-0.168301
A0.416	1.104586
A0.417	0.617477
A0.418	-0.620511
A0.419	0.190360
A0.420	1.253215
A0.421	0.175205
A0.422	-0.406473
A0.423	-0.856008
A0.424	-1.196164
A0.425	-0.156628
A0.426	-0.070851
A0.427	0.396282
A0.428	-1.085760
A0.429	-1.504833
A0.430	0.156220
A0.431	-1.142938
A0.432	-0.184090
A0.433	0.989758
A0.434	0.614058
A0.435	0.399946
A0.436	-2.125971
A0.437	-0.985792
A0.438	-0.963906
A0.439	0.605816
A0.440	0.044279
A0.441	0.319526
A0.442	0.555363
A0.443	1.547793
A0.444	0.585555
A0.445	0.125595
A0.446	1.030653
A0.447	0.288597
A0.448	-2.129124
A0.449	-1.903572
A0.450	-0.735855
A0.451	-1.196713
A0.452	0.738421
A0.453	0.431773
A0.454	0.832197
A0.455	0.738906
A0.456	1.157286
A0.457	-1.657932
A0.458	1.054602
A0.459	-2.558836
A0.460	0.978472
A0.461	1.000735
A0.462	-0.698732
A0.463	-0.268749
A0.464	-0.345789
A0.465	-0.635714
A0.466	-0.338702
A0.467	2.410581
A0.468	-0.832810
A0.469	1.632766
A0.470	1.167636
A0.471	-0.344410
A0.472	1.558431
A0.473	-0.652064
A0.474	0.646953
A0.475	-0.364939
A0.476	-0.120262
A0.477	-0.119299
A0.478	-1.607484
A0.479	1.696699
A0.480	-0.145197
A0.481	1.727095
A0.482	0.972773
A0.483	-0.940811
A0.484	-0.874912
A0.485	-0.993639
A0.486	0.017766
A0.487	-0.646154
A0.488	-1.283251
A0.489	-0.567070
A0.490	-0.486642
A0.491	0.612595
A0.492	0.193770
A0.493	-0.923146
A0.494	1.514358
A0.495	-0.777227
A0.496	0.559677
A0.497	0.372697
A0.498	-0.174936
A0.499	-0.953404
A0.500	-1.215459
A0.501	-0.198659
A0.502	0.139099
A0.503	0.126977
A0.504	-0.275358
A0.505	0.672928
A0.506	-0.149617
A0.507	1.265624
A0.508	-0.815591
A0.509	0.652832
A0.510	1.149437
A0.511	1.263398
A0.512	-0.533584
A0.513	-1.188768
A0.514	-0.653539
A0.515	1.272936
A0.516	-0.042875
A0.517	-1.364242
A0.518	0.607979
A0.519	0.634858
A0.520	-0.190460
A0.521	0.390489
A0.522	1.222696
A0.523	0.115271
A0.524	0.628036
A0.525	-0.451184
A0.526	0.105901
A0.527	-0.072551
A0.528	1.417546
A0.529	0.379464
A0.530	-0.461166
A0.531	-0.212264
A0.532	0.340751
A0.533	0.017356
A0.534	-2.564547
A0.535	0.205792
A0.536	-1.889006
A0.537	0.903078
A0.538	0.398263
A0.539	1.464596
A0.540	0.257574
A0.541	-0.187578
A0.542	-1.002519
A0.543	0.960572
A0.544	0.348509
A0.545	-1.017071
A0.546	-1.862624
A0.547	0.458943
A0.548	-2.077215
A0.549	0.683812
A0.550	-0.420577
A0.551	-0.354615
A0.552	-0.252583
A0.553	-0.959273
A0.554	1.889333
A0.555	1.406953
A0.556	-0.184520
A0.557	0.354814
A0.558	-0.937865
A0.559	0.296279
A0.560	-0.549395
A0.561	1.235536
A0.562	-1.295963
A0.563	-0.737863
A0.564	0.058004
A0.565	-1.230353
A0.566	0.391206
A0.567	-1.955734
A0.568	-1.861828
A0.569	2.113645
A0.570	0.489588
A0.571	0.236515
A0.572	-0.325169
A0.573	0.021728
A0.574	-1.228082
A0.575	1.033504
A0.576	0.686495
A0.577	-0.262405
A0.578	-1.987848
A0.579	0.466732
A0.580	1.424023
A0.581	0.137176
A0.582	0.304992
A0.583	1.907100
A0.584	0.168777
A0.585	2.059379
A0.586	-0.566714
A0.587	-0.333454
A0.588	0.208087
A0.589	1.041413
A0.590	-0.498226
A0.591	-0.590041
A0.592	1.519898
A0.593	-1.020313
A0.594	-0.073471
A0.595	-0.287668
A0.596	-0.169017
A0.597	0.266324
A0.598	-1.754749
A0.599	1.528708
A0.600	-0.292092
A0.601	-0.554224
A0.602	-0.593798
A0.603	0.552895
A0.604	0.571267
A0.605	-0.852588
A0.606	0.244748
A0.607	0.916699
A0.608	-1.725718
A0.609	-0.964863
A0.610	-1.906457
A0.611	0.299775
A0.612	-0.465875
A0.613	1.319942
A0.614	-0.345673
A0.615	-0.430355
A0.616	-0.485746
A0.617	1.425042
A0.618	-1.873577
A0.619	-1.327367
A0.620	0.232491
A0.621	-0.454007
A0.622	0.940578
A0.623	-0.107982
A0.624	-1.737600
A0.625	-2.198385
A0.626	1.159575
A0.627	1.294108
A0.628	-0.613819
A0.629	0.085389
A0.630	-0.457967
A0.631	0.249355
A0.632	-0.854331
A0.633	0.235517
A0.634	-0.964804
A0.635	1.382408
A0.636	0.073973
A0.637	-0.448221
A0.638	-1.389667
A0.639	-1.353838
A0.640	1.244937
A0.641	0.683314
A0.642	1.079274
A0.643	-0.487797
A0.644	0.587711
A0.645	-0.127961
A0.646	0.870957
A0.647	1.006862
A0.648	0.129242
A0.649	-0.779577
A0.650	-0.691199
A0.651	0.120064
A0.652	0.899114
A0.653	-0.628030
A0.654	-0.713231
A0.655	0.521448
A0.656	-1.625684
A0.657	-2.200716
A0.658	-2.029484
A0.659	1.034276
A0.660	0.337702
A0.661	-0.503112
A0.662	0.665159
A0.663	0.053791
A0.664	0.288075
A0.665	1.067088
A0.666	1.820745
A0.667	0.757851
A0.668	0.286980
A0.669	1.543418
A0.670	-1.407319
A0.671	-0.494046
A0.672	0.380918
A0.673	0.723814
A0.674	0.765011
A0.675	-0.117200
A0.676	-0.483150
A0.677	0.658959
A0.678	0.940806
A0.679	-0.897554
A0.680	0.073139
A0.681	-0.694832
A0.682	-0.847476
A0.683	0.739111
A0.684	0.618371
A0.685	0.576823
A0.686	0.418547
A0.687	-0.152984
A0.688	-0.110595
A0.689	0.858707
A0.690	2.771833
A0.691	-0.522894
A0.692	-1.823720
A0.693	-1.243990
A0.694	1.525165
A0.695	2.179546
A0.696	-1.802886
A0.697	-0.916394
A0.698	-1.379282
A0.699	0.703029
A0.700	2.556199
A0.701	-0.059562
A0.702	-0.844291
A0.703	0.064632
A0.704	-0.304558
A0.705	-1.035281
A0.706	0.954898
A0.707	1.234462
A0.708	0.495185
A0.709	-0.295790
A0.710	-0.175373
A0.711	0.410183
A0.712	-0.061396
A0.713	-0.625773
A0.714	-0.921399
A0.715	0.078276
A0.716	0.796073
A0.717	1.343450
A0.718	1.967338
A0.719	0.177077
A0.720	0.375839
A0.721	-0.225058
A0.722	-1.286977
A0.723	1.487160
A0.724	1.213211
A0.725	0.703502
A0.726	0.255937
A0.727	0.156258
A0.728	0.936596
A0.729	-0.838931
A0.730	-0.497137
A0.731	-0.640827
A0.732	1.845114
A0.733	-0.561840
A0.734	1.625247
A0.735	-0.352735
A0.736	0.709821
A0.737	-1.293478
A0.738	-0.414906
A0.739	-1.161887
A0.740	0.624291
A0.741	0.574765
A0.742	-1.128205
A0.743	-0.642819
A0.744	0.181374
A0.745	1.029269
A0.746	1.314399
A0.747	-0.320294
A0.748	-0.027630
A0.749	0.139158
A0.750	-1.706508
A0.751	1.855655
A0.752	-1.566302
A0.753	-1.479018
A0.754	-1.395703
A0.755	-1.208059
A0.756	-0.510034
A0.757	1.176529
A0.758	1.273936
A0.759	-0.570976
A0.760	1.084865
A0.761	0.967371
A0.762	-0.080006
A0.763	-0.358452
A0.764	1.089129
A0.765	-0.566243
A0.766	-0.780996
A0.767	0.479489
A0.768	0.244804
A0.769	-0.764990
A0.770	0.506965
A0.771	0.965441
A0.772	-0.682315
A0.773	-1.429788
A0.774	2.034123
A0.775	-0.828211
A0.776	-1.018908
A0.777	0.004389
A0.778	0.565903
A0.779	1.534885
A0.780	1.001856
A0.781	0.825431
A0.782	-1.125718
A0.783	-1.199651
A0.784	-1.105294
A0.785	0.842805
A0.786	0.093061
A0.787	1.787749
A0.788	2.730101
A0.789	1.832971
A0.790	-0.795633
A0.791	-0.306142
A0.792	-1.804025
A0.793	-0.243316
A0.794	-1.040726
A0.795	-0.605312
A0.796	-1.953616
A0.797	0.152302
A0.798	-0.384667
A0.799	1.370053
A0.800	0.439695
A0.801	0.080445
A0.802	-1.238762
A0.803	1.127424
A0.804	-0.620473
A0.805	-0.663339
A0.806	-0.669142
A0.807	-0.307412
A0.808	-2.528856
A0.809	1.150594
A0.810	-0.500457
A0.811	1.085573
A0.812	0.471561
A0.813	0.674694
A0.814	-0.369784
A0.815	-0.694353
A0.816	-0.439959
A0.817	-0.010120
A0.818	1.333606
A0.819	-0.503892
A0.820	1.729775
A0.821	0.496829
A0.822	0.823521
A0.823	-1.629097
A0.824	0.097543
A0.825	0.396030
A0.826	0.884311
A0.827	-0.574884
A0.828	-0.463631
A0.829	-0.479651
A0.830	0.387803
A0.831	-0.406571
A0.832	1.876651
A0.833	1.492628
A0.834	2.111489
A0.835	-0.400578
A0.836	0.235700
A0.837	0.590209
A0.838	0.598031
A0.839	1.206527
A0.840	-1.729081
A0.841	0.236672
A0.842	0.142721
A0.843	1.309829
A0.844	-1.214635
A0.845	2.078819
A0.846	0.120377
A0.847	0.824382
A0.848	1.024758
A0.849	1.116754
A0.850	-0.581938
A0.851	1.238749
A0.852	-2.055914
A0.853	-0.050737
A0.854	-0.307493
A0.855	1.125477
A0.856	-0.380634
A0.857	0.623925
A0.858	-0.542580
A0.859	0.120020
A0.860	0.009950
A0.861	1.106928
A0.862	1.726889
A0.863	-0.517751
A0.864	-0.058514
A0.865	0.850098
A0.866	-1.113170
A0.867	0.968009
A0.868	-1.512901
A0.869	0.540299
A0.870	-0.325938
A0.871	-1.559279
A0.872	-0.496221
A0.873	0.320174
A0.874	-1.325201
A0.875	0.330204
A0.876	-0.714813
A0.877	-1.229798
A0.878	-0.889874
A0.879	0.322456
A0.880	-1.046827
A0.881	-0.319744
A0.882	-0.873838
A0.883	-0.830530
A0.884	-0.865353
A0.885	-0.361643
A0.886	1.531797
A0.887	0.015231
A0.888	0.133322
A0.889	-1.618277
A0.890	-0.115171
A0.891	0.743453
A0.892	-0.276286
A0.893	-0.437043
A0.894	-1.183778
A0.895	0.508138
A0.896	-0.140921
A0.897	-0.796965
A0.898	-1.684523
A0.899	0.011827
A0.900	0.478839
A0.901	0.217958
A0.902	0.006139
A0.903	-0.771495
A0.904	0.951953
A0.905	1.110065
A0.906	0.243743
A0.907	0.714506
A0.908	0.103108
A0.909	0.780767
A0.910	0.388300
A0.911	-0.459453
A0.912	1.112527
A0.913	0.603938
A0.914	0.257578
A0.915	-0.175281
A0.916	0.988188
A0.917	-0.170743
A0.918	-2.583234
A0.919	-0.288601
A0.920	1.153009
A0.921	0.737002
A0.922	1.323866
A0.923	-0.842244
A0.924	-1.435917
A0.925	0.173990
A0.926	-1.263389
A0.927	-1.857868
A0.928	-1.453101
A0.929	1.870207
A0.930	0.505027
A0.931	-1.879092
A0.932	-0.377200
A0.933	0.544133
A0.934	0.549971
A0.935	-0.279802
A0.936	0.942939
A0.937	2.039194
A0.938	1.287323
A0.939	-0.420085
A0.940	0.257548
A0.941	0.264023
A0.942	-0.552098
A0.943	0.289104
A0.944	1.188262
A0.945	0.595662
A0.946	0.656539
A0.947	-1.151488
A0.948	-0.735253
A0.949	-0.027025
A0.950	0.379214
A0.951	1.010092
A0.952	-1.281236
A0.953	-0.219168
A0.954	0.276470
A0.955	-0.004681
A0.956	-0.475404
A0.957	-0.997043
A0.958	-0.131834
A0.959	0.793986
A0.960	-0.886310
A0.961	-1.548260
A0.962	-0.260713
A0.963	0.581645
A0.964	-0.996696
A0.965	-1.447810
A0.966	0.800995
A0.967	0.201233
A0.968	-1.099466
A0.969	-0.651208
A0.970	0.559954
A0.971	-0.083043
A0.972	0.126698
A0.973	-0.896159
A0.974	-0.660369
A0.975	-0.498022
A0.976	-0.161701
A0.977	-1.782557
A0.978	-1.438400
A0.979	0.829811
A0.980	-0.332639
A0.981	-0.822043
A0.982	-0.317245
A0.983	1.014125
A0.984	-0.051237
A0.985	-0.672234
A0.986	0.413087
A0.987	-0.338297
A0.988	1.474898
A0.989	1.034193
A0.990	-0.713639
A0.991	-0.995724
A0.992	1.391431
A0.993	-1.402812
A0.994	-1.105978
A0.995	0.518209
A0.996	0.253051
A0.997	-0.918450
A0.998	-0.873596
A0.999	-1.364319
A0.1000	-0.662511
A0.1001	-0.493358
A0.1002	-0.001355
A0.1003	-0.152260
A0.1004	-0.083777
A0.1005	0.714514
A0.1006	0.234485
A0.1007	0.939992
A0.1008	-0.006948
A0.1009	1.787850
A0.1010	-1.283236
A0.1011	0.138507
A0.1012	-0.396698
A0.1013	0.995126
A0.1014	-1.008027
A0.1015	0.389396
A0.1016	-1.058923
A0.1017	-1.566254
A0.1018	-0.881985
A0.1019	-0.210969
A0.1020	-1.154808
A0.1021	-2.721104
A0.1022	-0.067105
A0.1023	-0.290429
A0.1024	-1.386225
A0.1025	-1.106431
A0.1026	1.302860
A0.1027	-0.715800
A0.1028	-0.480157
A0.1029	0.864681
A0.1030	-1.275151
A0.1031	1.112596
A0.1032	-1.094098
A0.1033	0.195263
A0.1034	-0.432319
A0.1035	-1.817285
A0.1036	2.268941
A0.1037	-2.665113
A0.1038	0.194939
A0.1039	0.534110
A0.1040	1.390476
A0.1041	-1.250644
A0.1042	-0.550808
A0.1043	0.192040
A0.1044	1.273360
A0.1045	0.361689
A0.1046	1.341193
A0.1047	0.898640
A0.1048	-1.546675
A0.1049	0.696355
A0.1050	-0.638246
A0.1051	-1.170299
A0.1052	0.457213
A0.1053	0.065375
A0.1054	-1.320606
A0.1055	-1.311944
A0.1056	-0.011684
A0.1057	0.280128
A0.1058	0.928489
A0.1059	-1.164714
A0.1060	0.523114
A0.1061	-0.552076
A0.1062	0.335211
A0.1063	0.181483
A0.1064	-0.795467
A0.1065	1.114145
A0.1066	-1.016153
A0.1067	-0.051609
A0.1068	-1.053547
A0.1069	-0.111204
A0.1070	-0.910024
A0.1071	-1.045101
A0.1072	0.397512
A0.1073	-0.203063
A0.1074	-0.175675
A0.1075	-1.724877
A0.1076	0.728785
A0.1077	0.208546
A0.1078	0.010142
A0.1079	-0.553987
A0.1080	0.337808
A0.1081	0.677971
A0.1082	-0.189517
A0.1083	1.188204
A0.1084	-0.298880
A0.1085	-1.094047
A0.1086	1.002454
A0.1087	-1.069644
A0.1088	0.155019
A0.1089	2.872617
A0.1090	1.437857
A0.1091	0.427900
A0.1092	-1.473250
A0.1093	-1.268998
A0.1094	1.174916
A0.1095	0.762593
A0.1096	0.722038
A0.1097	-0.517957
A0.1098	-0.207769
A0.1099	1.525012
A0.1100	-0.294863
A0.1101	-1.826911
A0.1102	0.599801
A0.1103	-0.748537
A0.1104	1.259608
A0.1105	0.923671
A0.1106	1.483702
A0.1107	1.607895
A0.1108	1.002524
A0.1109	0.264683
A0.1110	0.699723
A0.1111	-0.992814
A0.1112	-0.543484
A0.1113	-0.446737
A0.1114	-1.540013
A0.1115	2.209164
A0.1116	-0.626164
A0.1117	-0.773021
A0.1118	1.143977
A0.1119	0.282325
A0.1120	1.120292
A0.1121	-0.777830
A0.1122	-0.097813
A0.1123	-1.500399
A0.1124	0.332760
A0.1125	0.415426
A0.1126	0.164080
A0.1127	-2.029743
A0.1128	-0.681315
A0.1129	0.987231
A0.1130	1.446259
A0.1131	-0.559752
A0.1132	-0.659286
A0.1133	0.475493
A0.1134	-0.610287
A0.1135	-0.964064
A0.1136	-0.346880
A0.1137	0.105932
A0.1138	0.121269
A0.1139	0.531028
A0.1140	-0.608553
A0.1141	0.219844
A0.1142	-1.611548
A0.1143	-0.720646
A0.1144	0.416208
A0.1145	0.142233
A0.1146	-0.129633
A0.1147	-0.526998
A0.1148	0.595873
A0.1149	-0.574481
A0.1150	-0.690916
A0.1151	0.329688
A0.1152	-1.752480
A0.1153	-0.048974
A0.1154	0.654072
A0.1155	-0.869918
A0.1156	0.733111
A0.1157	1.010755
A0.1158	0.560149
A0.1159	-0.610148
A0.1160	0.499686
A0.1161	0.599449
A0.1162	-0.219522
A0.1163	0.810885
A0.1164	0.772544
A0.1165	-0.844654
A0.1166	0.684679
A0.1167	-0.057536
A0.1168	1.210133
A0.1169	1.339248
A0.1170	-0.749853
A0.1171	0.561180
A0.1172	-0.287854
A0.1173	-0.091364
A0.1174	0.158850
A0.1175	-1.641203
A0.1176	-1.595660
A0.1177	-1.192804
A0.1178	1.524386
A0.1179	2.264475
A0.1180	-2.305091
A0.1181	-1.228424
A0.1182	-0.062857
A0.1183	0.679044
A0.1184	-0.602249
A0.1185	0.368582
A0.1186	-2.037305
A0.1187	-0.093012
A0.1188	-0.892192
A0.1189	0.687745
A0.1190	0.843646
A0.1191	0.813665
A0.1192	-0.604881
A0.1193	0.545249
A0.1194	-0.346227
A0.1195	-0.511797
A0.1196	-1.928406
A0.1197	-0.454385
A0.1198	-0.946636
A0.1199	-1.886770
A0.1200	-0.429312
A0.1201	-1.097249
A0.1202	1.343198
A0.1203	-1.802162
A0.1204	-1.087191
A0.1205	-2.148170
A0.1206	-0.289018
A0.1207	0.840672
A0.1208	-1.435326
A0.1209	-0.543565
A0.1210	0.961442
A0.1211	-0.568222
A0.1212	-0.394481
A0.1213	1.940458
A0.1214	-0.307312
A0.1215	1.128650
A0.1216	0.737713
A0.1217	-0.397656
A0.1218	1.634781
A0.1219	0.169357
A0.1220	-1.045977
A0.1221	-0.210570
A0.1222	0.719061
A0.1223	0.319139
A0.1224	-0.987302
A0.1225	0.860190
A0.1226	1.463709
A0.1227	1.004347
A0.1228	-0.067765
A0.1229	-1.558553
A0.1230	-1.409190
A0.1231	-1.596340
A0.1232	0.555742
A0.1233	-1.345947
A0.1234	1.504234
A0.1235	0.215327
A0.1236	-1.253758
A0.1237	-0.815984
A0.1238	1.196131
A0.1239	-0.528683
A0.1240	-0.858414
A0.1241	-0.331763
A0.1242	0.130498
A0.1243	0.597706
A0.1244	-0.967854
A0.1245	-0.616141
A0.1246	-1.201106
A0.1247	0.480472
A0.1248	0.526279
A0.1249	0.159259
A0.1250	-0.383149
A0.1251	-1.697454
A0.1252	-0.717677
A0.1253	0.050702
A0.1254	1.010627
A0.1255	-1.332296
A0.1256	1.419740
A0.1257	0.687589
A0.1258	-1.073528
A0.1259	-0.430418
A0.1260	-0.837619
A0.1261	-0.168762
A0.1262	-0.084679
A0.1263	-0.802460
A0.1264	1.646851
A0.1265	-0.039785
A0.1266	0.571466
A0.1267	1.427986
A0.1268	1.195446
A0.1269	-0.338798
A0.1270	0.541510
A0.1271	-1.146078
A0.1272	2.686971
A0.1273	0.401498
A0.1274	-0.713965
A0.1275	-0.120377
A0.1276	-0.701210
A0.1277	-1.956449
A0.1278	1.658991
A0.1279	1.929752
A0.1280	-1.532081
A0.1281	-0.685585
A0.1282	0.235225
A0.1283	0.060491
A0.1284	0.810701
A0.1285	0.423738
A0.1286	-1.105219
A0.1287	-0.786390
A0.1288	-0.702177
A0.1289	0.434555
A0.1290	0.758495
A0.1291	0.141889
A0.1292	0.293042
A0.1293	-0.085301
A0.1294	-0.298309
A0.1295	-0.451990
A0.1296	-0.350616
A0.1297	-0.114497
A0.1298	-1.978224
A0.1299	-1.067138
A0.1300	-0.346269
